Date,Open,Adj. High,Adj. Low,Close,Adj. Close,Volume
2000-01-01,3.382927,3.628884,3.064391,99.500000,3.209547,763800800
2000-01-08,3.290189,3.298252,2.790209,100.437500,3.239787,836435600
2000-01-15,3.257932,3.919194,3.239787,111.312500,3.590579,845969600
2000-01-22,3.497841,3.683317,3.245836,101.625000,3.278092,517168400
2000-01-29,3.257932,3.548242,3.048262,108.000000,3.483729,596106000
2000-02-05,3.483729,3.778071,3.417199,108.750000,3.507921,416077200
2000-02-12,3.526066,3.868793,3.503890,111.250000,3.588564,438617200
2000-02-19,3.552274,3.842585,3.441392,110.375000,3.560339,380242800
2000-02-26,3.552274,4.259906,3.495825,128.000000,4.128863,602229600
2000-03-04,4.064350,4.165153,3.814361,125.749992,4.056285,320031600
2000-03-11,3.939355,4.080480,3.677270,125.000000,4.032093,464822400
2000-03-18,3.983708,4.850608,3.923227,138.687500,4.473607,576573200
2000-03-25,4.439334,4.669166,4.046206,135.812500,4.380868,385254800
2000-04-01,4.370790,4.499816,3.765976,131.750000,4.249826,487155200
2000-04-08,4.247811,4.282084,3.382927,111.875000,3.608724,723167200
2000-04-15,3.532114,4.201441,3.518002,118.875000,3.834520,510689200
2000-04-22,3.709526,4.153057,3.701462,124.062508,4.001853,444589600
2000-04-29,4.028061,4.072414,3.566386,113.125008,3.649045,409004400
2000-05-06,3.615779,3.667188,3.185354,107.625000,3.471633,463447600
2000-05-13,3.485745,3.518002,3.011974,94.000000,3.032134,657980400
2000-05-20,3.024070,3.024070,2.677310,86.375000,2.786177,634863600
2000-05-27,2.826498,3.217611,2.592636,92.562500,2.985765,710813600
2000-06-03,3.009958,3.177289,2.893027,95.750000,3.088584,419263600
2000-06-10,3.108744,3.110760,2.844642,91.187500,2.941412,367844400
2000-06-17,2.921252,3.717591,2.897060,103.375000,3.334541,514518200
2000-06-24,3.386959,3.580499,3.294221,52.375000,3.378895,300503000
2000-07-01,3.362766,3.560339,3.201483,54.437500,3.511954,227298400
2000-07-08,3.489774,3.911131,3.467601,57.687500,3.721623,404265400
2000-07-15,3.757911,3.798232,3.338573,53.562500,3.455504,424522000
2000-07-22,3.390991,3.435344,3.024070,48.312500,3.116808,341782000
2000-07-29,3.171239,3.330509,2.854722,47.375000,3.056327,264489400
2000-08-05,3.088584,3.165194,2.939396,47.687500,3.076488,308358400
2000-08-12,3.070436,3.382927,2.987781,50.000000,3.225675,218902600
2000-08-19,3.241803,3.709526,3.201483,56.812500,3.665174,323339800
2000-08-26,3.693398,4.104671,3.681301,63.437500,4.092575,396974200
2000-09-02,4.042171,4.136929,3.725655,58.875000,3.798232,266757400
2000-09-09,3.786136,3.895003,3.499857,55.234303,3.563358,375607400
2000-09-16,3.564370,3.963548,3.225675,52.187500,3.366798,540156400
2000-09-23,3.403087,3.580499,1.637030,25.750000,1.661223,2382493400
2000-09-30,1.721704,1.725736,1.354783,22.187500,1.431393,1853649000
2000-10-07,1.459618,1.475746,1.233821,22.062500,1.423329,1231476400
2000-10-14,1.439457,1.499939,1.181404,19.500000,1.258013,1138537400
2000-10-21,1.307405,1.346719,1.128986,18.562500,1.197532,871516800
2000-10-28,1.233821,1.483810,1.209628,22.250000,1.435426,801738000
2000-11-04,1.447521,1.459618,1.229789,19.062500,1.229789,504154000
2000-11-11,1.209628,1.322527,1.177371,18.500000,1.193500,452181800
2000-11-18,1.199545,1.258013,1.177371,19.312500,1.245917,287870800
2000-11-25,1.282206,1.286238,1.040280,17.062500,1.100762,553842800
2000-12-02,1.108826,1.124954,0.903189,15.062499,0.971735,801126200
2000-12-09,0.979799,1.032216,0.903189,14.062500,0.907221,460230400
2000-12-16,0.939478,0.983831,0.878997,15.000000,0.967702,487510800
2000-12-23,0.959638,0.967702,0.915285,14.875000,0.959638,369448800
2000-12-30,0.959638,1.193500,0.931414,16.375000,1.056408,605284400
2001-01-06,1.092697,1.193500,1.028184,17.187500,1.108826,692630400
2001-01-13,1.124954,1.262045,1.064473,19.500000,1.258013,787666600
2001-01-20,1.229789,1.350751,1.189467,19.562500,1.262045,772119600
2001-01-27,1.262045,1.451554,1.262045,20.625000,1.330591,768923400
