Date,Open,High,Low,Close,Adjusted_close,Volume
2017-08-25,54.3100,54.4700,54.2600,54.3600,54.3600,3304809.00
2017-08-28,54.4800,54.5000,54.3700,54.4200,54.4200,4261893.00
2017-08-29,54.3800,54.4799,54.3050,54.3100,54.3100,5030679.00
2017-08-30,54.2000,54.3000,54.1300,54.2800,54.2800,5935723.00
2017-08-31,54.5000,54.7700,54.5000,54.7100,54.7100,3843511.00
2017-09-01,54.6300,54.6800,54.4800,54.4900,54.4900,8467831.00
2017-09-05,54.2400,54.3100,54.0400,54.2500,54.2500,7424657.00
2017-09-06,54.5000,54.6100,54.4500,54.4800,54.4800,5569584.00
2017-09-07,54.8300,54.9200,54.7200,54.8000,54.8000,4712721.00
2017-09-08,54.9700,55.0400,54.9100,54.9700,54.9700,4688996.00
667
