Date,Open,Adj. High,Adj. Low,Close,Adj. Close,Volume
2006-01-03,57.794342,58.976112,57.407879,79.110001,58.797718,3117200
2006-01-04,59.080173,59.080173,58.158531,78.709999,58.500446,2558000
2006-01-05,58.277443,58.455845,57.645687,77.989998,57.965286,2529500
2006-01-06,58.448429,58.641651,57.705166,78.629997,58.440975,2479500
2006-01-09,58.344353,59.332851,58.314617,79.019997,58.73085,1845600
2006-01-10,58.715973,58.723408,58.032196,78.529999,58.366627,1919900
2006-01-11,58.299755,58.463264,57.853821,78.370003,58.247738,1909900
2006-01-12,58.121387,58.143688,57.378132,77.699997,57.749771,2121100
2006-01-13,57.192348,58.121387,57.192348,77.5,57.601101,1925300
2006-01-17,57.30381,57.690292,57.229469,77.089996,57.296391,2073400
2006-01-18,57.229469,57.437588,56.87273,77.18,57.363274,1833600
2006-01-19,57.370708,57.50449,57.006519,76.910004,57.162598,1807100
2006-01-20,57.162598,57.162598,55.876785,75.239998,55.921394,3284500
2006-01-23,56.114624,56.657192,55.601784,75.699997,56.263287,2953500
2006-01-24,55.007206,56.188972,54.791653,74.199997,55.148403,5511200
2006-01-25,54.442333,54.873421,54.070717,73,54.256531,7475200
2006-01-26,54.420044,54.57613,53.528145,72.699997,54.033554,5027500
2006-01-27,53.847748,54.442333,53.810596,72.650002,53.996407,3813100
2006-01-30,54.182205,54.509235,53.825439,72.650002,53.996407,3463600
2006-01-31,53.810596,54.442333,53.483551,72.75,54.070717,5317900
2006-02-01,53.736271,54.553833,53.520725,73.190002,54.397758,3829100
2006-02-02,54.37545,54.761944,53.550446,72.150002,53.624783,3207100
2006-02-03,53.327488,53.580177,52.770054,71.099998,52.844379,3258300
2006-02-06,52.770054,52.993034,52.762611,71.169998,52.896404,2551500
2006-02-07,52.888962,52.985588,52.450447,70.650002,52.509914,3132800
2006-02-08,52.509914,52.978142,52.249786,71,52.770054,2846100
2006-02-09,53.037621,54.167339,52.955872,72.120003,53.602505,3798100
2006-02-10,53.728832,54.249119,53.141663,72.610001,53.966671,2931700
2006-02-13,54.026134,54.568687,53.988968,72.910004,54.189632,2320300
2006-02-14,54.628162,55.088947,54.561264,73.699997,54.776794,3859400
2006-02-15,54.784225,55.133572,54.323433,73.129997,54.353153,2672900
2006-02-16,54.405178,54.516666,53.884907,73.050003,54.293697,2923000
2006-02-17,54.368,55.111263,54.315998,73.769997,54.828808,2338600
2006-02-21,54.75449,55.074097,54.145035,73.199997,54.405178,3706300
2006-02-22,54.74176,55.15313,54.584686,72.980003,54.584686,2674100
2006-02-23,54.674442,55.407417,54.59964,73.650002,55.085812,2694800
2006-02-24,55.302692,55.467251,54.696877,73.910004,55.280266,1931100
2006-02-27,55.347591,55.841225,55.115711,73.690002,55.115711,2774300
2006-02-28,55.123203,55.407417,54.689415,73.589996,55.040909,2695300
2006-03-01,55.4897,55.4897,54.981106,73.669998,55.100773,2035500
2006-03-02,55.078323,55.197994,54.592178,73.050003,54.637043,2657100
2006-03-03,54.637043,54.816544,54.345345,72.879997,54.509888,3093200
2006-03-06,54.195755,54.450047,53.507637,71.949997,53.814304,3587200
2006-03-07,53.702133,54.105995,53.552525,72.269997,54.05365,2954800
2006-03-08,54.233139,54.651993,53.889103,72.379997,54.135925,2494700
2006-03-09,54.248123,54.420135,53.679657,71.800003,53.702133,2148800
2006-03-10,53.77692,54.450047,53.76194,72.32,54.091034,1832700
2006-03-13,54.22567,54.24065,53.76194,72.089996,53.919003,1997600
2006-03-14,53.986336,55.160599,53.986336,73.529999,54.996067,2629000
2006-03-15,54.809048,55.527081,54.607132,74,55.347591,2863500
2006-03-16,55.714066,56.439583,55.564499,74.889999,56.013256,4338200
2006-03-17,56.319912,56.432098,55.908546,74.790001,55.938454,4049500
2006-03-20,55.975849,56.237625,55.758945,75,56.095531,1748700
2006-03-21,56.245125,56.349842,55.818779,74.93,56.043179,3197700
2006-03-22,55.916023,56.955643,55.916023,76.07,56.89584,2954700
2006-03-23,57.352074,57.561478,56.850948,76.769997,57.41938,3468700
2006-03-24,57.329632,57.636284,57.127693,76.800003,57.441822,3419400
2006-03-27,57.367004,57.763432,57.224926,76.839996,57.471733,2792500
2006-03-28,57.471733,57.740986,56.955643,76.300003,57.067844,3511000
2006-03-29,58.197227,58.892815,58.010254,77.559998,58.010254,5262600
2006-03-30,58.017712,58.055141,56.84346,76.519997,57.232384,3362600
2006-03-31,57.232384,57.501648,56.55175,75.690002,56.611614,3125800
2006-04-03,56.821045,57.733513,56.663963,75.839996,56.723789,3603000
2006-04-04,57.232384,58.331852,57.232384,77,57.591404,3634600
2006-04-05,58.257072,58.264549,57.441822,77.459999,57.935452,2784100
2006-04-06,59.827759,61.338596,59.491192,81.379997,60.867386,10471100
2006-04-07,60.770142,61.390953,60.441051,81.029999,60.605614,4107900
2006-04-10,59.917488,60.859928,59.917488,80.980003,60.56823,2564200
2006-04-11,59.962376,60.672916,59.962376,80.790001,60.426102,2791600
2006-04-12,59.820278,60.859928,59.820278,81.099998,60.657951,2456800
2006-04-13,60.508366,60.987064,60.269032,80.970001,60.560719,1793900
2006-04-17,60.246628,60.366249,59.319134,80.260002,60.029682,3122500
2006-04-18,60.1045,61.48069,60.089516,81.589996,61.024448,4374600
2006-04-19,61.099266,61.62281,61.076813,81.879997,61.24136,2922500
2006-04-20,61.218899,62.056625,60.859928,82.599998,61.779884,4281500
2006-04-21,62.827,63.948906,62.759663,85.059998,63.619793,9268200
2006-04-24,62.834461,64.248085,62.827,85.459999,63.918972,4363700
2006-04-25,63.574936,63.948906,63.126163,84.809998,63.432816,3955800
2006-04-26,63.455254,64.061104,63.275753,85.519997,63.963848,2704600
2006-04-27,63.574936,64.083519,63.200935,85.230003,63.746948,2991300
2006-04-28,63.574936,63.956383,63.530056,85.43,63.896545,2531000
2006-05-01,63.956383,64.120949,63.455254,84.970001,63.552517,2848100
2006-05-02,63.687119,63.806782,62.512856,84.5,63.200935,3807300
2006-05-03,63.387951,64.248085,63.283226,85.900002,64.248085,3317600
2006-05-04,64.248085,64.824005,64.203186,86.470001,64.674423,3324700
2006-05-05,64.838951,65.295166,64.726768,87.300003,65.295166,3632000
2006-05-08,65.145576,66.080505,65.115692,88.129997,65.915977,3523600
2006-05-09,65.527046,65.669136,64.936195,87.580002,65.504601,4014700
2006-05-10,65.25782,65.639252,65.242813,87.650002,65.556984,2818300
2006-05-11,65.25782,65.549484,64.906258,87.169998,65.197945,2558100
2006-05-12,64.996017,65.564461,64.509857,86.57,64.749191,2526500
